arm,radius,theta,k,surv_k,n,p,p_lo,p_hi,anchor_arm,anchor_k,anchor_n,p_anchor,ratio,ratio_lo,ratio_hi
drclean02,3,0.4,256,244,450,0.5422222222222223,0.49602603834840087,0.5877036153457517,driver02,256,600,0.4266666666666667,1.2708333333333333,1.1167210056670789,1.4476190476190478
drclean02,3,0.4,512,242,450,0.5377777777777778,0.4915866753141687,0.5833293306227044,driver02,254,600,0.42333333333333334,1.2703412073490814,1.1195881280619802,1.443478260869565
drclean02,3,0.4,2048,234,450,0.52,0.47386550718708426,0.565795907720672,driver02,254,600,0.42333333333333334,1.2283464566929134,1.0808080808080809,1.3988187095825984
drclean02,3,0.4,6144,231,450,0.5133333333333333,0.46723498760396276,0.5592059556678748,driver02,254,600,0.42333333333333334,1.2125984251968502,1.0647464118257632,1.3787234042553194
drclean02,3,0.8,8,450,450,1.0,0.9915353726939092,1.0,driver02,600,600,1.0,1.0,1.0,1.0
drclean02,3,0.8,32,423,450,0.94,0.9141108080946955,0.9584403198759445,driver02,571,600,0.9516666666666667,0.9877408056042031,0.9582563662752341,1.016431924882629
drclean02,3,0.8,128,294,450,0.6533333333333333,0.6082309879356588,0.6958398596904732,driver02,275,600,0.4583333333333333,1.4254545454545455,1.2801727574750832,1.5948907103825136
drclean02,3,0.8,256,285,450,0.6333333333333333,0.587854425045853,0.6765550076725227,driver02,256,600,0.4266666666666667,1.4843749999999998,1.318673087212413,1.6708860759493671
drclean02,3,0.8,512,281,450,0.6244444444444445,0.5788244930584276,0.6679576441453898,driver02,254,600,0.42333333333333334,1.4750656167979004,1.314278812974465,1.6666666666666667
drclean02,3,0.8,2048,268,450,0.5955555555555555,0.5495856495220195,0.639907777259483,driver02,254,600,0.42333333333333334,1.4068241469816272,1.246368906455863,1.5885444370567376
drclean02,3,0.8,6144,262,450,0.5822222222222222,0.5361454511636398,0.6269070323460252,driver02,254,600,0.42333333333333334,1.3753280839895012,1.2171666666666667,1.5574241765671786
drclean05,0,0.4,8,96,700,0.13714285714285715,0.11363220119365174,0.16461449522213276,driver05,121,800,0.15125,0.9067296340023614,0.700723199569444,1.1535380507343123
drclean05,0,0.4,32,46,700,0.06571428571428571,0.04962602601475949,0.08654324843562822,driver05,52,800,0.065,1.010989010989011,0.6823027718550106,1.4833434650455932
drclean05,0,0.4,128,34,700,0.04857142857142857,0.03496364905582479,0.06710704412286769,driver05,44,800,0.055,0.8831168831168831,0.5620608899297425,1.3480519480519482
drclean05,0,0.4,256,34,700,0.04857142857142857,0.03496364905582479,0.06710704412286769,driver05,44,800,0.055,0.8831168831168831,0.5602240896358543,1.377443609022557
drclean05,0,0.4,512,34,700,0.04857142857142857,0.03496364905582479,0.06710704412286769,driver05,44,800,0.055,0.8831168831168831,0.5606363300036996,1.3605965463108323
drclean05,0,0.4,2048,34,700,0.04857142857142857,0.03496364905582479,0.06710704412286769,driver05,44,800,0.055,0.8831168831168831,0.5597543576701197,1.3650793650793651
drclean05,0,0.4,6144,34,700,0.04857142857142857,0.03496364905582479,0.06710704412286769,driver05,44,800,0.055,0.8831168831168831,0.5523645320197045,1.357142857142857
drclean05,0,0.8,8,105,700,0.15,0.12546130478909026,0.1783593275804656,driver05,121,800,0.15125,0.9917355371900827,0.7764449291166848,1.2675610627904206
drclean05,0,0.8,32,45,700,0.06428571428571428,0.048388913454087606,0.08493881255699215,driver05,52,800,0.065,0.9890109890109888,0.6625040863027133,1.4693877551020407
drclean05,0,0.8,128,42,700,0.06,0.04469275145242711,0.08011032924072885,driver05,44,800,0.055,1.0909090909090908,0.7142857142857143,1.657188940092166
drclean05,0,0.8,256,42,700,0.06,0.04469275145242711,0.08011032924072885,driver05,44,800,0.055,1.0909090909090908,0.7195464852607709,1.6762500000000005
drclean05,0,0.8,512,42,700,0.06,0.04469275145242711,0.08011032924072885,driver05,44,800,0.055,1.0909090909090908,0.7195767195767195,1.6541353383458646
drclean05,0,0.8,2048,42,700,0.06,0.04469275145242711,0.08011032924072885,driver05,44,800,0.055,1.0909090909090908,0.7047252747252748,1.641025641025641
drclean05,0,0.8,6144,42,700,0.06,0.04469275145242711,0.08011032924072885,driver05,44,800,0.055,1.0909090909090908,0.7085442176870748,1.6703296703296702
drclean10,0,0.4,8,336,2000,0.168,0.15225441539628148,0.18501855069045914,driver10,385,2100,0.18333333333333332,0.9163636363636365,0.7999908759124087,1.0470835353185597
drclean10,0,0.4,32,193,2000,0.0965,0.08432181728364616,0.1102252966199678,driver10,221,2100,0.10523809523809524,0.9169683257918552,0.7660944206008584,1.1071925123762376
drclean10,0,0.4,128,184,2000,0.092,0.08010306146970764,0.10546130649231092,driver10,211,2100,0.10047619047619048,0.9156398104265402,0.7539617926126738,1.1086356682005787
drclean10,0,0.4,256,184,2000,0.092,0.08010306146970764,0.10546130649231092,driver10,211,2100,0.10047619047619048,0.9156398104265402,0.7527376045581282,1.1080117785057886
drclean10,0,0.4,512,184,2000,0.092,0.08010306146970764,0.10546130649231092,driver10,211,2100,0.10047619047619048,0.9156398104265402,0.7592798403538792,1.1073849306431274
drclean10,0,0.4,2048,184,2000,0.092,0.08010306146970764,0.10546130649231092,driver10,211,2100,0.10047619047619048,0.9156398104265402,0.7552592385218365,1.1061754447503576
drclean10,0,0.4,6144,184,2000,0.092,0.08010306146970764,0.10546130649231092,driver10,211,2100,0.10047619047619048,0.9156398104265402,0.7552592385218365,1.0974643682588598
drclean10,0,0.8,8,338,2000,0.169,0.15321382438914655,0.18605530746239307,driver10,385,2100,0.18333333333333332,0.921818181818182,0.8087443001126056,1.0530085959885387
drclean10,0,0.8,32,201,2000,0.1005,0.08807901861123035,0.1144527583515795,driver10,221,2100,0.10523809523809524,0.9549773755656109,0.804250287521564,1.1423642594991366
drclean10,0,0.8,128,194,2000,0.097,0.08479110556577746,0.110754091220236,driver10,211,2100,0.10047619047619048,0.9654028436018957,0.8018117897727274,1.1625213068181817
drclean10,0,0.8,256,194,2000,0.097,0.08479110556577746,0.110754091220236,driver10,211,2100,0.10047619047619048,0.9654028436018957,0.7987,1.1709476943213855
drclean10,0,0.8,512,194,2000,0.097,0.08479110556577746,0.110754091220236,driver10,211,2100,0.10047619047619048,0.9654028436018957,0.7986909871244635,1.1565258079516392
drclean10,0,0.8,2048,194,2000,0.097,0.08479110556577746,0.110754091220236,driver10,211,2100,0.10047619047619048,0.9654028436018957,0.8090090687129404,1.1666808252427183
drclean10,0,0.8,6144,194,2000,0.097,0.08479110556577746,0.110754091220236,driver10,211,2100,0.10047619047619048,0.9654028436018957,0.7983821704860605,1.1641460263720598
drclean10,3,0.4,8,450,450,1.0,0.9915353726939092,1.0,driver10,600,600,1.0,1.0,1.0,1.0
drclean10,3,0.4,32,444,450,0.9866666666666667,0.9712190745637255,0.9938753548583461,driver10,589,600,0.9816666666666667,1.0050933786078098,0.98989898989899,1.0205479452054793
drclean10,3,0.4,128,428,450,0.9511111111111111,0.927089268370908,0.96749597899293,driver10,557,600,0.9283333333333333,1.0245362058647516,0.9935103244837759,1.0564663023679417
drclean10,3,0.4,256,428,450,0.9511111111111111,0.927089268370908,0.96749597899293,driver10,557,600,0.9283333333333333,1.0245362058647516,0.9929577464788732,1.05627944359562
drclean10,3,0.4,512,428,450,0.9511111111111111,0.927089268370908,0.96749597899293,driver10,557,600,0.9283333333333333,1.0245362058647516,0.9940145258927502,1.054945054945055
drclean10,3,0.4,2048,428,450,0.9511111111111111,0.927089268370908,0.96749597899293,driver10,557,600,0.9283333333333333,1.0245362058647516,0.9947451329237669,1.0553531394546123
drclean10,3,0.4,6144,428,450,0.9511111111111111,0.927089268370908,0.96749597899293,driver10,557,600,0.9283333333333333,1.0245362058647516,0.9946332737030411,1.0560657332553276
drclean10,3,0.8,8,450,450,1.0,0.9915353726939092,1.0,driver10,600,600,1.0,1.0,1.0,1.0
drclean10,3,0.8,32,444,450,0.9866666666666667,0.9712190745637255,0.9938753548583461,driver10,589,600,0.9816666666666667,1.0050933786078098,0.9904761904761904,1.0206896551724138
drclean10,3,0.8,128,429,450,0.9533333333333334,0.9297145615245549,0.9692775097179228,driver10,557,600,0.9283333333333333,1.0269299820466786,0.9958992384299941,1.0588949605343048
drclean10,3,0.8,256,429,450,0.9533333333333334,0.9297145615245549,0.9692775097179228,driver10,557,600,0.9283333333333333,1.0269299820466786,0.9958992384299941,1.0573870573870574
drclean10,3,0.8,512,429,450,0.9533333333333334,0.9297145615245549,0.9692775097179228,driver10,557,600,0.9283333333333333,1.0269299820466786,0.9964906081458061,1.0593288851820961
drclean10,3,0.8,2048,429,450,0.9533333333333334,0.9297145615245549,0.9692775097179228,driver10,557,600,0.9283333333333333,1.0269299820466786,0.9963527420804908,1.0579710144927537
drclean10,3,0.8,6144,429,450,0.9533333333333334,0.9297145615245549,0.9692775097179228,driver10,557,600,0.9283333333333333,1.0269299820466786,0.9958400138250174,1.0580557952638059
driver02,0,0.0,8,283,2100,0.13476190476190475,0.12082206012574309,0.1500355937964914,driver02,283,2100,0.13476190476190475,1.0,0.8580960833715071,1.1726625928173124
driver02,0,0.0,32,78,2100,0.037142857142857144,0.029862897781985084,0.04611316429417123,driver02,78,2100,0.037142857142857144,1.0,0.7346809609919918,1.3548387096774193
driver02,0,0.0,128,42,2100,0.02,0.014830182414692444,0.026922770849469653,driver02,42,2100,0.02,1.0,0.6481481481481481,1.5483870967741935
driver02,0,0.0,256,41,2100,0.019523809523809523,0.014424196161599831,0.026378115191117983,driver02,41,2100,0.019523809523809523,1.0,0.6415094339622641,1.555637254901961
driver02,0,0.0,512,41,2100,0.019523809523809523,0.014424196161599831,0.026378115191117983,driver02,41,2100,0.019523809523809523,1.0,0.6346153846153847,1.5357829670329675
driver02,0,0.0,2048,41,2100,0.019523809523809523,0.014424196161599831,0.026378115191117983,driver02,41,2100,0.019523809523809523,1.0,0.6521486349848331,1.5526315789473686
driver02,0,0.0,6144,41,2100,0.019523809523809523,0.014424196161599831,0.026378115191117983,driver02,41,2100,0.019523809523809523,1.0,0.6499780701754385,1.5518199233716479
driver02,0,0.4,8,252,2000,0.126,0.11216933033102068,0.141264673634163,driver02,283,2100,0.13476190476190475,0.9349823321554771,0.7988272165697675,1.0988419600036197
driver02,0,0.4,32,73,2000,0.0365,0.029129631650884488,0.045647536364791005,driver02,78,2100,0.037142857142857144,0.9826923076923076,0.7159090909090909,1.3577852434077078
driver02,0,0.4,128,40,2000,0.02,0.014721643767243237,0.02711878912924918,driver02,42,2100,0.02,1.0,0.6461079545454546,1.5441176470588238
driver02,0,0.4,256,31,2000,0.0155,0.010940903471396526,0.021916783483500506,driver02,41,2100,0.019523809523809523,0.7939024390243903,0.486073717948718,1.26
driver02,0,0.4,512,29,2000,0.0145,0.010114610999973123,0.020746910190124937,driver02,41,2100,0.019523809523809523,0.7426829268292684,0.4461995192307692,1.1813558467741938
driver02,0,0.4,2048,26,2000,0.013,0.00888683405424848,0.01898043848865112,driver02,41,2100,0.019523809523809523,0.6658536585365854,0.40212765957446805,1.0783980855855857
driver02,0,0.4,6144,25,2000,0.0125,0.008481021586816417,0.018388168073683698,driver02,41,2100,0.019523809523809523,0.6402439024390244,0.37333333333333335,1.05
driver02,0,0.8,8,256,2000,0.128,0.11406770406969287,0.14335863142508878,driver02,283,2100,0.13476190476190475,0.9498233215547704,0.8115137304432855,1.111301761023447
driver02,0,0.8,32,78,2000,0.039,0.03136130698332722,0.04840627544434571,driver02,78,2100,0.037142857142857144,1.05,0.7668539325842697,1.4369089558573858
driver02,0,0.8,128,28,2000,0.014,0.009703718394559921,0.020159719913138655,driver02,42,2100,0.02,0.7,0.42,1.1277777777777778
driver02,0,0.8,256,18,2000,0.009,0.005700452646339954,0.014182156837363747,driver02,41,2100,0.019523809523809523,0.4609756097560975,0.24705882352941178,0.7636363636363637
driver02,0,0.8,512,16,2000,0.008,0.00493025378658916,0.012956189932315568,driver02,41,2100,0.019523809523809523,0.40975609756097564,0.21428571428571427,0.7000000000000001
driver02,0,0.8,2048,8,2000,0.004,0.002028222209821939,0.007873558449886893,driver02,41,2100,0.019523809523809523,0.20487804878048782,0.07682926829268293,0.3982758620689655
driver02,0,0.8,6144,6,2000,0.003,0.0013756111462276122,0.006530003748682246,driver02,41,2100,0.019523809523809523,0.15365853658536585,0.043750000000000004,0.3182481060606063
driver02,3,0.0,8,600,600,1.0,0.9936380666717896,1.0,driver02,600,600,1.0,1.0,1.0,1.0
driver02,3,0.0,32,571,600,0.9516666666666667,0.9314470668068944,0.9661393200866222,driver02,571,600,0.9516666666666667,1.0,0.9756521739130435,1.025
driver02,3,0.0,128,275,600,0.4583333333333333,0.4188553820891988,0.4983414456881521,driver02,275,600,0.4583333333333333,1.0,0.8827586206896553,1.1307818532818532
driver02,3,0.0,256,256,600,0.4266666666666667,0.38768085832894195,0.4665855585591957,driver02,256,600,0.4266666666666667,1.0,0.8754217128027681,1.1435129339886816
driver02,3,0.0,512,254,600,0.42333333333333334,0.38440880935423183,0.46323335375609387,driver02,254,600,0.42333333333333334,1.0,0.8715137768817205,1.1379310344827587
driver02,3,0.0,2048,254,600,0.42333333333333334,0.38440880935423183,0.46323335375609387,driver02,254,600,0.42333333333333334,1.0,0.8723404255319149,1.145837942477876
driver02,3,0.0,6144,254,600,0.42333333333333334,0.38440880935423183,0.46323335375609387,driver02,254,600,0.42333333333333334,1.0,0.874062370921107,1.1428571428571428
driver02,3,0.4,8,450,450,1.0,0.9915353726939092,1.0,driver02,600,600,1.0,1.0,1.0,1.0
